#  File format type:   4
#
#  SPECT3D transition powers file.
#  RUN NAME:  ne_50-200_1e18-1e21
#  Total number of transitions   =     4122
#  Number of written transitions =     1226
#  Plasma temperature (eV)       =     5.0000E+01
#  Mass density (g/cm3)          =     8.3789E-05
#  Cell areal density (g/cm2)    =     3.3515E-05
#  Material mass fractions       =     1.0000E+00
#  DCA material number fractions =     1.0000E+00
# -----------------------------------------------------
#
#
#   Trans.  Trans  Upper  Upper  Lower  Lower   Ioniz   Energy     Line Power Line Center Line Width
#   Index   Model  Level  Model  Level  Model   Stage   (eV)       (W/cm2)    Opt. Depth      eV
# --------------------------------------------------------------------------------------------------
       1      1      3      1      2      1       8     1.5889E+01  9.186E+05  4.175E+00  2.680E-03
       2      1      4      1      2      1       8     1.6093E+01  1.297E+06  8.862E+00  2.705E-03
       5      1      5      1      3      1       8     1.2048E+02  1.617E+07  8.511E-01  1.723E-02
       6      1      5      1      4      1       8     1.2027E+02  2.188E+07  1.683E+00  1.721E-02
       7      1      6      1      2      1       8     1.4074E+02  1.372E+08  2.847E+00  8.676E-02
      10      1      6      1      5      1       8     4.3741E+00  1.460E+04  6.684E-03  7.241E-02
      12      1      7      1      3      1       8     1.2638E+02  5.647E+07  2.281E+01  1.735E-02
      13      1      7      1      4      1       8     1.2617E+02  9.015E+07  2.529E+01  3.050E-02
      15      1      7      1      6      1       8     1.5251E+00  2.557E+02  1.176E-03  5.336E-02
      17      1      8      1      3      1       8     1.6632E+02  4.246E+06  1.089E-01  2.793E-02
      18      1      8      1      4      1       8     1.6612E+02  7.555E+06  2.132E-01  2.791E-02
      20      1      8      1      6      1       8     4.1472E+01  2.409E+06  2.962E-02  8.176E-02
      22      1      9      1      2      1       8     1.8400E+02  3.584E+07  1.546E+00  4.375E-02
      25      1      9      1      5      1       8     4.7632E+01  5.681E+06  1.826E-01  2.916E-02
      27      1      9      1      7      1       8     4.1733E+01  9.965E+05  3.826E-02  2.591E-02
      28      1      9      1      8      1       8     1.7861E+00  4.115E+02  2.629E-03  2.874E-02
      30      1     10      1      3      1       8     1.6874E+02  3.074E+07  2.765E+00  2.704E-02
      31      1     10      1      4      1       8     1.6854E+02  4.336E+07  4.908E+00  2.970E-02
      33      1     10      1      6      1       8     4.3893E+01  2.058E+07  3.346E-01  7.706E-02
      36      1     10      1      9      1       8     6.3499E-01  1.085E+01  6.350E-04  2.387E-02
      41      1     11      1      7      1       8     4.2397E+01  2.466E+07  3.274E+00  3.086E-02
      43      1     11      1     10      1       8     2.8907E-02  8.568E-05  1.000E-30  2.233E-02
      45      1     12      1      3      1       8     1.8712E+02  1.613E+06  2.839E-02  4.151E-02
      46      1     12      1      4      1       8     1.8692E+02  3.121E+06  5.541E-02  4.148E-02
      48      1     12      1      6      1       8     6.2272E+01  1.059E+06  6.208E-03  9.531E-02
      51      1     12      1      9      1       8     1.9015E+01  2.296E+05  1.329E-02  4.189E-02
      53      1     13      1      2      1       8     2.0394E+02  2.361E+07  6.446E-01  4.357E-02
      56      1     13      1      5      1       8     6.7569E+01  3.334E+06  5.233E-02  2.895E-02
      58      1     13      1      7      1       8     6.1670E+01  4.061E+05  4.571E-03  4.915E-02
      59      1     13      1      8      1       8     2.1723E+01  4.325E+05  2.370E-02  2.855E-02
      61      1     13      1     10      1       8     1.9302E+01  1.564E+05  1.066E-02  3.147E-02
      63      1     13      1     12      1       8     9.2247E-01  4.502E+01  5.909E-04  3.709E-02
      65      1     14      1      3      1       8     1.8836E+02  2.398E+07  6.789E-01  3.993E-02
      66      1     14      1      4      1       8     1.8816E+02  3.765E+07  1.330E+00  3.991E-02
      68      1     14      1      6      1       8     6.3509E+01  1.186E+07  7.539E-02  9.375E-02
      71      1     14      1      9      1       8     2.0251E+01  1.566E+06  8.998E-02  4.031E-02
      73      1     14      1     11      1       8     1.9587E+01  5.999E+04  4.274E-03  3.093E-02
      75      1     14      1     13      1       8     3.1361E-01  1.087E+00  1.271E-04  3.530E-02
      80      1     15      1      7      1       8     6.1991E+01  1.698E+07  2.889E-01  4.477E-02
      82      1     15      1     10      1       8     1.9623E+01  3.233E+06  3.177E-01  2.708E-02
      85      1     15      1     14      1       8     7.4800E-03  1.546E-06  1.000E-30  3.083E-02
      91      1     16      1     11      1       8     1.9655E+01  7.095E+06  1.256E+00  2.466E-02
      93      1     16      1     15      1       8     6.0560E-02  3.317E-04  1.000E-30  2.474E-02
      95      1     17      1      3      1       8     1.9833E+02  7.430E+05  8.642E-03  6.320E-02
      96      1     17      1      4      1       8     1.9813E+02  1.468E+06  1.693E-02  6.318E-02
      97      1     17      1      6      1       8     7.3479E+01  5.387E+05  2.074E-03  1.170E-01
      99      1     17      1      9      1       8     3.0222E+01  1.526E+05  2.383E-03  6.358E-02
     102      1     17      1     13      1       8     1.0284E+01  3.953E+04  3.326E-03  5.856E-02
     104      1     18      1      2      1       8     2.1470E+02  1.466E+07  2.148E-01  6.544E-02
     107      1     18      1      5      1       8     7.8336E+01  1.890E+06  1.301E-02  5.082E-02
     108      1     18      1      7      1       8     7.2437E+01  1.971E+05  1.209E-03  7.103E-02
     109      1     18      1      8      1       8     3.2490E+01  3.369E+05  4.950E-03  5.043E-02
     111      1     18      1     10      1       8     3.0069E+01  9.545E+04  1.649E-03  5.334E-02
     113      1     18      1     12      1       8     1.1689E+01  5.946E+04  3.872E-03  5.897E-02
     115      1     18      1     14      1       8     1.0453E+01  3.337E+04  2.789E-03  5.710E-02
     117      1     18      1     17      1       8     4.8232E-01  5.576E+00  1.249E-04  7.795E-02
     119      1     19      1      3      1       8     1.9902E+02  1.438E+07  2.065E-01  6.111E-02
     120      1     19      1      4      1       8     1.9882E+02  2.516E+07  4.055E-01  6.108E-02
     121      1     19      1      6      1       8     7.4170E+01  6.377E+06  2.564E-02  1.149E-01
     123      1     19      1      9      1       8     3.0912E+01  1.196E+06  1.898E-02  6.148E-02
     125      1     19      1     11      1       8     3.0248E+01  3.094E+04  5.681E-04  5.210E-02
     127      1     19      1     13      1       8     1.0975E+01  2.112E+05  1.643E-02  5.647E-02
     129      1     19      1     15      1       8     1.0654E+01  1.985E+04  1.764E-03  5.200E-02
     132      1     19      1     18      1       8     2.0831E-01  3.642E-01  4.259E-05  7.574E-02
     136      1     20      1      7      1       8     7.2924E+01  9.582E+06  7.022E-02  6.337E-02
     138      1     20      1     10      1       8     3.0556E+01  2.466E+06  5.045E-02  4.571E-02
     141      1     20      1     14      1       8     1.0940E+01  5.200E+05  4.659E-02  5.199E-02
     143      1     20      1     16      1       8     1.0872E+01  8.570E+03  8.605E-04  4.588E-02
     145      1     20      1     19      1       8     2.7887E-01  1.417E-01  9.093E-06  7.059E-02
     148      1     21      1     11      1       8     3.0535E+01  3.311E+06  7.897E-02  4.357E-02
     150      1     21      1     15      1       8     1.0940E+01  9.764E+05  1.102E-01  4.350E-02
     153      1     21      1     20      1       8     7.5365E-03  7.768E-07  1.000E-30  6.050E-02
     157      1     22      1     16      1       8     1.0881E+01  1.564E+06  2.556E-01  3.401E-02
     159      1     22      1     21      1       8     1.3214E-03  5.032E-10  1.000E-30  4.919E-02
     161      1     23      1      3      1       8     2.0517E+02  4.062E+05  2.978E-03  9.778E-02
     162      1     23      1      4      1       8     2.0497E+02  8.077E+05  5.838E-03  9.776E-02
     163      1     23      1      6      1       8     8.0323E+01  3.099E+05  8.176E-04  1.516E-01
     164      1     23      1      9      1       8     3.7065E+01  9.704E+04  6.598E-04  9.816E-02
     166      1     23      1     13      1       8     1.7128E+01  3.349E+04  6.827E-04  9.314E-02
     169      1     23      1     18      1       8     6.3616E+00  1.063E+04  1.100E-03  1.124E-01
     171      1     24      1      2      1       8     2.2123E+02  9.096E+06  7.511E-02  1.056E-01
     172      1     24      1      5      1       8     8.4862E+01  1.127E+06  3.909E-03  9.095E-02
     173      1     24      1      7      1       8     7.8963E+01  1.092E+05  3.870E-04  1.060E-01
     174      1     24      1      8      1       8     3.9016E+01  2.281E+05  1.440E-03  9.055E-02
     175      1     24      1     10      1       8     3.6595E+01  5.746E+04  4.148E-04  8.831E-02
     176      1     24      1     12      1       8     1.8215E+01  5.641E+04  1.018E-03  9.910E-02
     178      1     24      1     14      1       8     1.6979E+01  2.586E+04  5.427E-04  9.206E-02
     180      1     24      1     17      1       8     7.0085E+00  1.210E+04  1.029E-03  1.181E-01
     182      1     24      1     19      1       8     6.3179E+00  9.234E+03  9.866E-04  1.107E-01
     184      1     24      1     23      1       8     1.6457E-01  1.801E-01  1.843E-05  1.510E-01
     186      1     25      1      3      1       8     2.0544E+02  8.729E+06  7.067E-02  9.530E-02
     187      1     25      1      4      1       8     2.0523E+02  1.644E+07  1.385E-01  9.528E-02
     188      1     25      1      6      1       8     8.0584E+01  3.786E+06  1.024E-02  1.491E-01
     189      1     25      1      9      1       8     3.7326E+01  7.872E+05  5.494E-03  9.568E-02
     190      1     25      1     11      1       8     3.6662E+01  1.695E+04  1.295E-04  8.629E-02
