#  File format type:   4
#
#  SPECT3D transition powers file.
#  RUN NAME:  ne-ne-h-xe_3mm
#  Total number of transitions   =     6012
#  Number of written transitions =     2732
#  Plasma temperature (eV)       =     4.0000E+02
#  Mass density (g/cm3)          =     2.9172E-03
#  Cell areal density (g/cm2)    =     8.7516E-04
#  Material mass fractions       =     1.0000E+00
#  DCA material number fractions =     1.4800E-01    8.5000E-01    2.0000E-03
# -----------------------------------------------------
#
#
#   Trans.  Trans  Upper  Upper  Lower  Lower   Ioniz   Energy     Line Power Line Center Line Width
#   Index   Model  Level  Model  Level  Model   Stage   (eV)       (W/cm2)    Opt. Depth      eV
# --------------------------------------------------------------------------------------------------
       1      1      2      1      1      1       1     1.0199E+01  2.754E+03  1.307E-04  3.244E-01
       4      1      4      1      1      1       1     1.0199E+01  5.508E+03  2.613E-04  3.244E-01
       7      1      6      1      1      1       1     1.2088E+01  2.237E+01  3.398E-05  7.090E-01
       9      1      6      1      3      1       1     1.8887E+00  4.692E-01  8.518E-08  1.126E+00
      12      1      5      1      2      1       1     1.8887E+00  1.468E-02  1.033E-09  2.905E+00
      14      1      5      1      4      1       1     1.8886E+00  2.936E-02  2.066E-09  2.905E+00
      16      1      7      1      2      1       1     1.8887E+00  7.509E-01  8.104E-08  1.897E+00
      18      1      7      1      4      1       1     1.8887E+00  1.501E+00  1.620E-07  1.897E+00
      19      1      9      1      1      1       1     1.2749E+01  1.941E-01  7.715E-06  1.201E+00
      21      1      9      1      3      1       1     2.5497E+00  5.511E-03  9.257E-09  9.350E+00
      24      1      9      1      5      1       1     6.6104E-01  4.531E-04  2.604E-10  9.962E+00
      25      1      9      1      7      1       1     6.6103E-01  5.136E-05  3.283E-11  8.953E+00
      27      1      8      1      2      1       1     2.5497E+00  1.635E-04  3.057E-10  8.420E+00
      29      1      8      1      4      1       1     2.5497E+00  3.269E-04  6.114E-10  8.420E+00
      30      1      8      1      6      1       1     6.6103E-01  9.050E-05  5.050E-11  1.026E+01
      34      1     10      1      2      1       1     2.5497E+00  6.542E-03  1.577E-08  6.530E+00
      36      1     10      1      4      1       1     2.5497E+00  1.310E-02  3.159E-08  6.530E+00
      37      1     10      1      6      1       1     6.6104E-01  1.735E-03  1.187E-09  8.365E+00
      45      1     11      1      7      1       1     6.6103E-01  4.763E-03  4.479E-09  6.082E+00
      46      1     13      1      1      1       1     1.3054E+01  4.529E-03  2.241E-06  1.982E+00
      48      1     13      1      3      1       1     2.8557E+00  1.428E-04  1.904E-09  1.917E+01
      50      1     13      1      5      1       1     9.6701E-01  1.600E-05  3.180E-11  2.121E+01
      51      1     13      1      7      1       1     9.6699E-01  1.459E-06  3.042E-12  2.020E+01
      53      1     13      1      8      1       1     3.0597E-01  2.275E-06  8.900E-14  2.672E+01
      54      1     13      1     10      1       1     3.0596E-01  5.817E-07  2.449E-14  2.483E+01
      57      1     12      1      2      1       1     2.8557E+00  4.113E-06  5.245E-11  2.005E+01
      59      1     12      1      4      1       1     2.8556E+00  8.225E-06  1.049E-10  2.005E+01
      60      1     12      1      6      1       1     9.6700E-01  2.942E-06  5.665E-12  2.188E+01
      63      1     12      1      9      1       1     3.0596E-01  6.634E-07  2.560E-14  2.710E+01
      67      1     14      1      2      1       1     2.8557E+00  1.511E-04  2.267E-09  1.702E+01
      69      1     14      1      4      1       1     2.8557E+00  3.018E-04  4.527E-09  1.702E+01
