#  File format type:   4
#
#  SPECT3D transition powers file.
#  RUN NAME:  ne-ne-h-xe_3mm
#  Total number of transitions   =     6012
#  Number of written transitions =     2770
#  Plasma temperature (eV)       =     2.0000E+02
#  Mass density (g/cm3)          =     2.9172E-04
#  Cell areal density (g/cm2)    =     8.7516E-05
#  Material mass fractions       =     1.0000E+00
#  DCA material number fractions =     1.4800E-01    8.5000E-01    2.0000E-03
# -----------------------------------------------------
#
#
#   Trans.  Trans  Upper  Upper  Lower  Lower   Ioniz   Energy     Line Power Line Center Line Width
#   Index   Model  Level  Model  Level  Model   Stage   (eV)       (W/cm2)    Opt. Depth      eV
# --------------------------------------------------------------------------------------------------
       1      1      2      1      1      1       1     1.0199E+01  1.584E+03  3.827E-05  7.633E-02
       4      1      4      1      1      1       1     1.0199E+01  3.169E+03  7.655E-05  7.633E-02
       7      1      6      1      1      1       1     1.2088E+01  5.533E+01  1.152E-05  1.591E-01
       9      1      6      1      3      1       1     1.8887E+00  1.161E+00  3.827E-06  2.440E-01
      12      1      5      1      2      1       1     1.8887E+00  3.632E-02  7.199E-08  4.123E-01
      14      1      5      1      4      1       1     1.8886E+00  7.263E-02  1.440E-07  4.123E-01
      16      1      7      1      2      1       1     1.8887E+00  1.858E+00  5.609E-06  2.698E-01
      18      1      7      1      4      1       1     1.8887E+00  3.713E+00  1.121E-05  2.698E-01
      19      1      9      1      1      1       1     1.2749E+01  5.237E-01  2.407E-06  2.636E-01
      21      1      9      1      3      1       1     2.5497E+00  1.487E-02  1.005E-07  2.016E+00
      24      1      9      1      5      1       1     6.6104E-01  1.222E-03  1.000E-30  1.409E+00
      25      1      9      1      7      1       1     6.6103E-01  1.386E-04  1.000E-30  1.266E+00
      27      1      8      1      2      1       1     2.5497E+00  4.411E-04  5.131E-09  1.192E+00
      29      1      8      1      4      1       1     2.5497E+00  8.822E-04  1.026E-08  1.192E+00
      30      1      8      1      6      1       1     6.6103E-01  2.442E-04  1.000E-30  1.450E+00
      34      1     10      1      2      1       1     2.5497E+00  1.765E-02  2.647E-07  9.252E-01
      36      1     10      1      4      1       1     2.5497E+00  3.535E-02  5.303E-07  9.252E-01
      37      1     10      1      6      1       1     6.6104E-01  4.680E-03  1.000E-30  1.183E+00
      45      1     11      1      7      1       1     6.6103E-01  1.284E-02  1.000E-30  8.603E-01
      46      1     13      1      1      1       1     1.3054E+01  1.232E-02  7.138E-07  4.289E-01
      48      1     13      1      3      1       1     2.8557E+00  3.886E-04  3.637E-08  2.711E+00
      50      1     13      1      5      1       1     9.6701E-01  4.354E-05  2.620E-10  2.999E+00
      51      1     13      1      7      1       1     9.6699E-01  3.969E-06  2.707E-11  2.856E+00
      53      1     13      1      8      1       1     3.0597E-01  6.191E-06  4.060E-11  3.777E+00
      54      1     13      1     10      1       1     3.0596E-01  1.583E-06  1.117E-11  3.510E+00
      57      1     12      1      2      1       1     2.8557E+00  1.120E-05  1.002E-09  2.836E+00
      59      1     12      1      4      1       1     2.8556E+00  2.239E-05  2.003E-09  2.836E+00
      60      1     12      1      6      1       1     9.6700E-01  8.007E-06  4.836E-11  3.094E+00
      63      1     12      1      9      1       1     3.0596E-01  1.806E-06  1.168E-11  3.831E+00
