#  File format type:   4
#
#  SPECT3D transition powers file.
#  RUN NAME:  xe_750-1300_4mm
#  Total number of transitions   =     1380
#  Number of written transitions =      624
#  Plasma temperature (eV)       =     2.0000E+02
#  Mass density (g/cm3)          =     2.1803E-04
#  Cell areal density (g/cm2)    =     8.7214E-05
#  Material mass fractions       =     1.0000E+00
#  DCA material number fractions =     1.0000E+00
# -----------------------------------------------------
#
#
#   Trans.  Trans  Upper  Upper  Lower  Lower   Ioniz   Energy     Line Power Line Center Line Width
#   Index   Model  Level  Model  Level  Model   Stage   (eV)       (W/cm2)    Opt. Depth      eV
# --------------------------------------------------------------------------------------------------
       1      1      3      1      2      1      52     1.1982E+02  1.335E+08  2.421E-10  1.140E-02
       2      1      4      1      2      1      52     4.9234E+02  2.987E+10  2.008E-01  4.700E-02
       4      1      6      1      5      1      52     1.0651E+02  5.081E+08  3.165E-04  7.871E+01
       6      1      7      1      6      1      52     6.8034E+01  6.661E+07  4.413E-05  9.466E+01
       7      1      9      1      8      1      52     3.8672E+01  2.956E+07  1.056E-03  2.871E+01
       9      1     10      1      9      1      52     3.4641E+01  1.906E+07  2.890E-04  3.134E+01
      11      1     11      1     10      1      52     9.4480E+00  6.628E+04  1.093E-04  8.524E+00
      13      1     12      1      9      1      52     8.3242E+02  1.097E+12  1.000E-30  4.475E+01
      14      1     13      1      8      1      52     8.9349E+02  8.697E+11  2.657E-03  2.726E+01
      16      1     13      1     10      1      52     8.2018E+02  2.902E+11  1.000E-30  1.546E+01
      17      1     13      1     12      1      52     2.2396E+01  8.378E+06  2.678E-03  1.654E+01
      19      1     14      1      9      1      52     8.6975E+02  1.859E+12  1.490E-03  3.751E+01
      21      1     14      1     11      1      52     8.2566E+02  6.922E+10  1.000E-30  2.944E+00
      23      1     14      1     13      1      52     1.4925E+01  1.786E+06  5.254E-04  2.020E+01
      25      1     15      1     10      1      52     8.3968E+02  3.133E+12  4.907E-03  1.284E+01
      28      1     15      1     14      1      52     4.5752E+00  1.307E+04  3.700E-04  4.372E+00
      30      1     16      1     11      1      52     8.3260E+02  5.037E+12  1.274E-02  5.906E+00
      32      1     16      1     15      1      52     2.3647E+00  5.447E+02  2.007E-04  1.739E+00
      34      1     17      1      9      1      52     1.3019E+03  9.203E+11  1.000E-30  4.466E+01
      36      1     17      1     13      1      52     4.4709E+02  2.332E+11  1.000E-30  2.761E+01
      38      1     18      1      8      1      52     1.3534E+03  8.235E+11  1.240E-03  1.590E+01
      40      1     18      1     10      1      52     1.2800E+03  2.248E+11  1.000E-30  8.585E+00
      41      1     18      1     12      1      52     4.8226E+02  1.498E+11  5.047E-03  1.576E+01
      43      1     18      1     14      1      52     4.4493E+02  7.788E+10  1.000E-30  9.475E+00
      45      1     18      1     17      1      52     1.2770E+01  1.861E+06  5.701E-03  9.367E+00
      47      1     19      1      9      1      52     1.3234E+03  1.672E+12  3.524E-04  4.044E+01
      49      1     19      1     11      1      52     1.2793E+03  4.575E+10  1.000E-30  4.051E+00
      51      1     19      1     13      1      52     4.6860E+02  2.905E+11  2.390E-03  2.338E+01
      53      1     19      1     15      1      52     4.4910E+02  2.844E+10  1.000E-30  1.768E+00
      56      1     19      1     18      1      52     8.7378E+00  4.638E+05  1.177E-03  1.168E+01
      58      1     20      1     10      1      52     1.2912E+03  2.411E+12  9.170E-04  1.449E+01
      61      1     20      1     14      1      52     4.5609E+02  4.681E+11  9.357E-03  6.335E+00
      63      1     20      1     16      1      52     4.4915E+02  8.008E+09  1.000E-30  7.036E-01
      65      1     20      1     19      1      52     2.4178E+00  2.486E+03  8.311E-04  2.511E+00
      67      1     21      1     11      1      52     1.2829E+03  2.532E+12  1.467E-03  6.927E+00
      69      1     21      1     15      1      52     4.5271E+02  7.028E+11  2.295E-02  2.888E+00
      72      1     21      1     20      1      52     1.2002E+00  1.203E+02  5.877E-04  1.004E+00
      75      1     22      1     16      1      52     4.5135E+02  1.004E+12  4.675E-02  1.642E+00
      77      1     22      1     21      1      52     1.0028E+00  3.167E+01  4.049E-04  5.110E-01
      79      1     23      1     13      1      52     7.2854E+02  2.236E+11  1.000E-30  2.757E+01
      81      1     23      1     18      1      52     2.6868E+02  6.550E+10  1.000E-30  1.593E+01
      83      1     24      1     12      1      52     7.5883E+02  1.611E+11  2.201E-03  9.949E+00
      85      1     24      1     14      1      52     7.2151E+02  6.941E+10  1.000E-30  5.059E+00
      86      1     24      1     17      1      52     2.8935E+02  3.522E+10  8.810E-03  9.905E+00
      88      1     24      1     19      1      52     2.6784E+02  2.450E+10  1.000E-30  6.195E+00
      90      1     24      1     23      1      52     7.9016E+00  5.068E+05  1.069E-02  5.782E+00
      92      1     25      1     13      1      52     7.4204E+02  3.051E+11  5.932E-04  2.488E+01
      94      1     25      1     15      1      52     7.2254E+02  2.243E+10  1.000E-30  1.739E+00
      96      1     25      1     18      1      52     2.8218E+02  6.526E+10  4.331E-03  1.330E+01
      98      1     25      1     20      1      52     2.7102E+02  1.098E+10  1.000E-30  1.188E+00
     101      1     25      1     24      1      52     5.5989E+00  1.488E+05  2.294E-03  7.314E+00
     103      1     26      1     14      1      52     7.2843E+02  4.559E+11  1.947E-03  7.195E+00
     105      1     26      1     16      1      52     7.2149E+02  5.272E+09  1.000E-30  1.184E+00
     107      1     26      1     19      1      52     2.7476E+02  9.923E+10  1.632E-02  3.557E+00
     109      1     26      1     21      1      52     2.7114E+02  4.678E+09  1.000E-30  4.296E-01
     112      1     26      1     25      1      52     1.3194E+00  4.848E+02  1.573E-03  1.593E+00
     114      1     27      1     15      1      52     7.2446E+02  5.705E+11  3.735E-03  3.414E+00
     117      1     27      1     20      1      52     2.7295E+02  1.394E+11  3.797E-02  1.613E+00
     119      1     27      1     22      1      52     2.7075E+02  1.382E+09  1.000E-30  2.384E-01
     121      1     27      1     26      1      52     6.0740E-01  2.108E+01  1.258E-03  6.344E-01
     123      1     28      1     16      1      52     7.2273E+02  5.271E+11  4.593E-03  2.012E+00
     125      1     28      1     21      1      52     2.7238E+02  1.899E+11  7.474E-02  9.166E-01
     128      1     28      1     27      1      52     6.3240E-01  1.484E+01  1.206E-03  3.209E-01
     129      1     29      1     13      1      52     9.1039E+02  1.778E+11  1.000E-30  2.752E+01
     131      1     29      1     18      1      52     4.5053E+02  6.809E+10  1.000E-30  1.588E+01
     134      1     29      1     24      1      52     1.7396E+02  2.168E+10  1.000E-30  1.002E+01
     136      1     30      1     12      1      52     9.3797E+02  1.356E+11  1.456E-03  6.699E+00
     137      1     30      1     14      1      52     9.0065E+02  5.276E+10  1.000E-30  4.437E+00
     138      1     30      1     17      1      52     4.6848E+02  4.136E+10  3.595E-03  6.655E+00
     140      1     30      1     19      1      52     4.4698E+02  2.412E+10  1.000E-30  3.477E+00
     142      1     30      1     23      1      52     1.8704E+02  1.029E+10  1.436E-02  6.627E+00
     144      1     30      1     25      1      52     1.7354E+02  8.766E+09  1.000E-30  4.262E+00
     146      1     30      1     29      1      52     5.1810E+00  1.594E+05  1.852E-02  3.766E+00
     147      1     31      1     13      1      52     9.1941E+02  2.545E+11  2.514E-04  2.573E+01
     148      1     31      1     15      1      52     8.9991E+02  1.592E+10  1.000E-30  2.462E+00
     150      1     31      1     18      1      52     4.5956E+02  7.591E+10  1.093E-03  1.415E+01
     152      1     31      1     20      1      52     4.4840E+02  9.785E+09  1.000E-30  9.048E-01
     155      1     31      1     24      1      52     1.8298E+02  1.839E+10  7.284E-03  8.229E+00
     157      1     31      1     26      1      52     1.7606E+02  4.483E+09  1.000E-30  8.414E-01
     160      1     31      1     30      1      52     3.8407E+00  5.717E+04  4.068E-03  4.920E+00
     161      1     32      1     14      1      52     9.0519E+02  3.612E+11  7.539E-04  7.661E+00
     162      1     32      1     16      1      52     8.9825E+02  3.402E+09  1.000E-30  1.650E+00
     164      1     32      1     19      1      52     4.5152E+02  1.118E+11  3.584E-03  4.030E+00
     166      1     32      1     21      1      52     4.4790E+02  3.646E+09  1.000E-30  5.920E-01
     169      1     32      1     25      1      52     1.7808E+02  2.667E+10  2.658E-02  2.187E+00
     171      1     32      1     27      1      52     1.7615E+02  2.302E+09  1.000E-30  2.981E-01
     174      1     32      1     31      1      52     7.0280E-01  8.479E+01  2.699E-03  1.076E+00
     175      1     33      1     15      1      52     9.0089E+02  4.064E+11  1.265E-03  3.725E+00
     177      1     33      1     20      1      52     4.4938E+02  1.454E+11  7.169E-03  1.912E+00
     179      1     33      1     22      1      52     4.4717E+02  8.939E+08  1.000E-30  4.477E-01
     181      1     33      1     26      1      52     1.7704E+02  3.591E+10  6.055E-02  9.833E-01
     183      1     33      1     28      1      52     1.7580E+02  1.025E+09  1.000E-30  1.533E-01
     185      1     33      1     32      1      52     2.7490E-01  2.489E+00  2.366E-03  4.298E-01
     186      1     34      1     16      1      52     8.9895E+02  3.002E+11  1.228E-03  2.221E+00
     188      1     34      1     21      1      52     4.4860E+02  1.643E+11  1.083E-02  1.125E+00
     191      1     34      1     27      1      52     1.7685E+02  4.589E+10  1.149E-01  5.519E-01
     194      1     34      1     33      1      52     4.2420E-01  6.376E+00  2.523E-03  2.183E-01
     195      1     35      1     13      1      52     1.0346E+03  1.372E+11  1.000E-30  2.754E+01
     196      1     35      1     18      1      52     5.7478E+02  5.782E+10  1.000E-30  1.589E+01
     198      1     35      1     24      1      52     2.9820E+02  2.429E+10  1.000E-30  9.972E+00
     201      1     35      1     30      1      52     1.1906E+02  8.292E+09  1.000E-30  6.688E+00
     203      1     36      1     12      1      52     1.0606E+03  1.084E+11  1.133E-03  4.758E+00
     204      1     36      1     14      1      52     1.0233E+03  3.960E+10  1.000E-30  5.174E+00
     205      1     36      1     17      1      52     5.9109E+02  3.732E+10  2.276E-03  4.714E+00
     206      1     36      1     19      1      52     5.6958E+02  1.970E+10  1.000E-30  2.568E+00
     207      1     36      1     23      1      52     3.0964E+02  1.298E+10  5.580E-03  4.680E+00
     209      1     36      1     25      1      52     2.9614E+02  9.377E+09  1.000E-30  2.545E+00
     211      1     36      1     29      1      52     1.2779E+02  3.517E+09  2.220E-02  4.645E+00
     213      1     36      1     31      1      52     1.1877E+02  3.524E+09  1.000E-30  3.055E+00
     215      1     36      1     35      1      52     3.5433E+00  5.540E+04  2.979E-02  2.584E+00
     216      1     37      1     13      1      52     1.0410E+03  2.020E+11  1.347E-04  2.626E+01
     217      1     37      1     15      1      52     1.0215E+03  1.144E+10  1.000E-30  2.994E+00
     218      1     37      1     18      1      52     5.8110E+02  6.798E+10  4.662E-04  1.468E+01
     219      1     37      1     20      1      52     5.6995E+02  7.538E+09  1.000E-30  1.245E+00
     221      1     37      1     24      1      52     3.0452E+02  2.308E+10  1.847E-03  8.755E+00
     223      1     37      1     26      1      52     2.9760E+02  4.375E+09  1.000E-30  5.543E-01
     226      1     37      1     30      1      52     1.2539E+02  6.161E+09  1.147E-02  5.471E+00
     228      1     37      1     32      1      52     1.2084E+02  1.966E+09  1.000E-30  6.223E-01
     231      1     37      1     36      1      52     2.7803E+00  2.537E+04  6.802E-03  3.462E+00
     232      1     38      1     14      1      52     1.0264E+03  2.766E+11  3.824E-04  7.931E+00
     233      1     38      1     16      1      52     1.0194E+03  2.289E+09  1.000E-30  1.945E+00
