#  File format type:   4
#
#  SPECT3D transition powers file.
#  RUN NAME:  ne_50-350eV_1e18-5e21_4mm
#  Total number of transitions   =     4122
#  Number of written transitions =     2041
#  Plasma temperature (eV)       =     2.3000E+02
#  Mass density (g/cm3)          =     8.3789E-05
#  Cell areal density (g/cm2)    =     2.5137E-05
#  Material mass fractions       =     1.0000E+00
#  DCA material number fractions =     1.0000E+00
# -----------------------------------------------------
#
#
#   Trans.  Trans  Upper  Upper  Lower  Lower   Ioniz   Energy     Line Power Line Center Line Width
#   Index   Model  Level  Model  Level  Model   Stage   (eV)       (W/cm2)    Opt. Depth      eV
# --------------------------------------------------------------------------------------------------
       1      1      3      1      2      1       8     1.5889E+01  5.117E+04  9.682E-03  4.566E-03
       2      1      4      1      2      1       8     1.6093E+01  1.054E+05  2.092E-02  4.620E-03
       5      1      5      1      3      1       8     1.2048E+02  5.379E+05  5.505E-03  3.283E-02
       6      1      5      1      4      1       8     1.2027E+02  1.071E+06  1.102E-02  3.278E-02
       7      1      6      1      2      1       8     1.4074E+02  9.687E+06  2.347E-02  1.052E-01
      10      1      6      1      5      1       8     4.3741E+00  2.503E+02  6.909E-05  7.117E-02
      12      1      7      1      3      1       8     1.2638E+02  1.298E+07  1.431E-01  3.408E-02
      13      1      7      1      4      1       8     1.2617E+02  2.418E+07  2.040E-01  4.720E-02
      15      1      7      1      6      1       8     1.5251E+00  4.355E+00  1.919E-05  5.204E-02
      17      1      8      1      3      1       8     1.6632E+02  1.015E+05  7.997E-04  4.773E-02
      18      1      8      1      4      1       8     1.6612E+02  2.016E+05  1.584E-03  4.768E-02
      20      1      8      1      6      1       8     4.1472E+01  5.214E+04  4.482E-04  8.351E-02
      22      1      9      1      2      1       8     1.8400E+02  2.143E+06  1.039E-02  6.603E-02
      25      1      9      1      5      1       8     4.7632E+01  1.495E+05  2.549E-03  3.178E-02
      27      1      9      1      7      1       8     4.1733E+01  2.219E+04  5.617E-04  2.802E-02
      28      1      9      1      8      1       8     1.7861E+00  8.712E+00  3.884E-05  2.285E-02
      30      1     10      1      3      1       8     1.6874E+02  2.447E+06  1.957E-02  4.769E-02
      31      1     10      1      4      1       8     1.6854E+02  4.733E+06  3.651E-02  5.033E-02
      33      1     10      1      6      1       8     4.3893E+01  6.221E+05  4.976E-03  7.967E-02
      36      1     10      1      9      1       8     6.3499E-01  2.295E-01  1.648E-05  1.834E-02
      41      1     11      1      7      1       8     4.2397E+01  2.157E+06  4.575E-02  3.418E-02
      43      1     11      1     10      1       8     2.8907E-02  1.800E-06  5.943E-07  1.785E-02
      45      1     12      1      3      1       8     1.8712E+02  4.089E+04  2.596E-04  5.958E-02
      46      1     12      1      4      1       8     1.8692E+02  8.105E+04  5.125E-04  5.953E-02
