#  File format type:   4
#
#  SPECT3D transition powers file.
#  RUN NAME:  ne_50-350eV_1e18-5e21_4mm
#  Total number of transitions   =     4122
#  Number of written transitions =     2044
#  Plasma temperature (eV)       =     2.4000E+02
#  Mass density (g/cm3)          =     1.6758E-04
#  Cell areal density (g/cm2)    =     5.0273E-05
#  Material mass fractions       =     1.0000E+00
#  DCA material number fractions =     1.0000E+00
# -----------------------------------------------------
#
#
#   Trans.  Trans  Upper  Upper  Lower  Lower   Ioniz   Energy     Line Power Line Center Line Width
#   Index   Model  Level  Model  Level  Model   Stage   (eV)       (W/cm2)    Opt. Depth      eV
# --------------------------------------------------------------------------------------------------
       1      1      3      1      2      1       8     1.5889E+01  5.104E+04  9.269E-03  5.078E-03
       2      1      4      1      2      1       8     1.6093E+01  1.055E+05  1.966E-02  5.133E-03
       5      1      5      1      3      1       8     1.2048E+02  8.402E+05  5.010E-03  3.497E-02
       6      1      5      1      4      1       8     1.2027E+02  1.669E+06  1.004E-02  3.491E-02
       7      1      6      1      2      1       8     1.4074E+02  1.530E+07  2.250E-02  1.074E-01
      10      1      6      1      5      1       8     4.3741E+00  3.948E+02  7.979E-05  7.367E-02
      12      1      7      1      3      1       8     1.2638E+02  2.099E+07  1.320E-01  3.584E-02
      13      1      7      1      4      1       8     1.2617E+02  3.914E+07  1.912E-01  4.896E-02
      15      1      7      1      6      1       8     1.5251E+00  6.960E+00  1.490E-05  5.410E-02
      17      1      8      1      3      1       8     1.6632E+02  2.022E+05  7.138E-04  5.301E-02
      18      1      8      1      4      1       8     1.6612E+02  4.019E+05  1.416E-03  5.296E-02
      20      1      8      1      6      1       8     4.1472E+01  1.038E+05  5.645E-04  8.910E-02
      22      1      9      1      2      1       8     1.8400E+02  4.297E+06  9.565E-03  7.137E-02
      25      1      9      1      5      1       8     4.7632E+01  2.993E+05  2.868E-03  3.739E-02
      27      1      9      1      7      1       8     4.1733E+01  4.444E+04  6.444E-04  3.318E-02
      28      1      9      1      8      1       8     1.7861E+00  1.745E+01  4.081E-05  3.110E-02
      30      1     10      1      3      1       8     1.6874E+02  4.937E+06  1.763E-02  5.229E-02
      31      1     10      1      4      1       8     1.6854E+02  9.567E+06  3.309E-02  5.493E-02
      33      1     10      1      6      1       8     4.3893E+01  1.246E+06  6.246E-03  8.457E-02
      36      1     10      1      9      1       8     6.3499E-01  4.618E-01  1.366E-05  2.589E-02
      41      1     11      1      7      1       8     4.2397E+01  4.294E+06  5.672E-02  3.784E-02
      43      1     11      1     10      1       8     2.8907E-02  3.635E-06  1.320E-07  2.387E-02
      45      1     12      1      3      1       8     1.8712E+02  9.023E+04  2.134E-04  7.116E-02
      46      1     12      1      4      1       8     1.8692E+02  1.790E+05  4.220E-04  7.111E-02
      48      1     12      1      6      1       8     6.2272E+01  5.815E+04  1.166E-04  1.072E-01
