#  File format type:   4
#
#  SPECT3D transition powers file.
#  RUN NAME:  ne_50-350eV_1e18-5e21_4mm
#  Total number of transitions   =     4122
#  Number of written transitions =     2044
#  Plasma temperature (eV)       =     3.3000E+02
#  Mass density (g/cm3)          =     8.3789E-04
#  Cell areal density (g/cm2)    =     2.5137E-04
#  Material mass fractions       =     1.0000E+00
#  DCA material number fractions =     1.0000E+00
# -----------------------------------------------------
#
#
#   Trans.  Trans  Upper  Upper  Lower  Lower   Ioniz   Energy     Line Power Line Center Line Width
#   Index   Model  Level  Model  Level  Model   Stage   (eV)       (W/cm2)    Opt. Depth      eV
# --------------------------------------------------------------------------------------------------
       1      1      3      1      2      1       8     1.5889E+01  1.299E+04  1.453E-03  8.629E-03
       2      1      4      1      2      1       8     1.6093E+01  2.735E+04  2.954E-03  8.693E-03
       5      1      5      1      3      1       8     1.2048E+02  5.121E+05  7.712E-04  5.025E-02
       6      1      5      1      4      1       8     1.2027E+02  1.027E+06  1.555E-03  5.018E-02
       7      1      6      1      2      1       8     1.4074E+02  9.726E+06  4.453E-03  1.234E-01
      10      1      6      1      5      1       8     4.3741E+00  2.441E+02  2.180E-05  9.033E-02
      12      1      7      1      3      1       8     1.2638E+02  1.506E+07  2.159E-02  4.863E-02
      13      1      7      1      4      1       8     1.2617E+02  2.940E+07  3.393E-02  6.174E-02
      15      1      7      1      6      1       8     1.5251E+00  4.352E+00  1.243E-06  6.788E-02
      17      1      8      1      3      1       8     1.6632E+02  1.855E+05  9.280E-05  8.965E-02
      18      1      8      1      4      1       8     1.6612E+02  3.690E+05  1.851E-04  8.958E-02
      20      1      8      1      6      1       8     4.1472E+01  9.526E+04  1.380E-04  1.267E-01
      22      1      9      1      2      1       8     1.8400E+02  4.013E+06  1.441E-03  1.085E-01
      25      1      9      1      5      1       8     4.7632E+01  2.768E+05  4.606E-04  7.525E-02
      27      1      9      1      7      1       8     4.1733E+01  4.101E+04  1.030E-04  6.802E-02
      28      1      9      1      8      1       8     1.7861E+00  1.609E+01  5.854E-06  8.612E-02
      30      1     10      1      3      1       8     1.6874E+02  4.677E+06  2.428E-03  8.439E-02
      31      1     10      1      4      1       8     1.6854E+02  9.239E+06  4.683E-03  8.701E-02
      33      1     10      1      6      1       8     4.3893E+01  1.163E+06  1.590E-03  1.177E-01
      36      1     10      1      9      1       8     6.3499E-01  4.275E-01  1.378E-06  7.621E-02
