#  File format type:   4
#
#  SPECT3D transition powers file.
#  RUN NAME:  ne_50-350eV_1e18-5e21_4mm
#  Total number of transitions   =     4122
#  Number of written transitions =     2005
#  Plasma temperature (eV)       =     9.0000E+01
#  Mass density (g/cm3)          =     1.6758E-01
#  Cell areal density (g/cm2)    =     5.0273E-02
#  Material mass fractions       =     1.0000E+00
#  DCA material number fractions =     1.0000E+00
# -----------------------------------------------------
#
#
#   Trans.  Trans  Upper  Upper  Lower  Lower   Ioniz   Energy     Line Power Line Center Line Width
#   Index   Model  Level  Model  Level  Model   Stage   (eV)       (W/cm2)    Opt. Depth      eV
# --------------------------------------------------------------------------------------------------
       1      1      3      1      2      1       8     1.5889E+01  5.856E+09  5.815E+01  1.072E+00
       2      1      4      1      2      1       8     1.6093E+01  8.681E+09  1.195E+02  1.072E+00
       5      1      5      1      3      1       8     1.2048E+02  4.016E+11  3.162E+01  3.719E+00
       6      1      5      1      4      1       8     1.2027E+02  5.750E+11  6.355E+01  3.719E+00
       7      1      6      1      2      1       8     1.4074E+02  1.901E+12  5.065E+02  3.699E+00
      10      1      6      1      5      1       8     4.3741E+00  5.505E+08  2.923E+00  6.307E+00
      12      1      7      1      3      1       8     1.2638E+02  1.941E+12  1.213E+03  2.675E+00
      13      1      7      1      4      1       8     1.2617E+02  2.738E+12  2.413E+03  2.689E+00
      15      1      7      1      6      1       8     1.5251E+00  1.865E+07  4.946E-01  5.244E+00
      17      1      8      1      3      1       8     1.6632E+02  1.467E+11  2.474E+00  1.102E+01
      18      1      8      1      4      1       8     1.6612E+02  2.165E+11  4.924E+00  1.102E+01
      20      1      8      1      6      1       8     4.1472E+01  4.916E+10  6.556E+00  1.361E+01
      22      1      9      1      2      1       8     1.8400E+02  6.939E+11  4.964E+01  1.093E+01
      25      1      9      1      5      1       8     4.7632E+01  8.475E+10  1.497E+01  1.354E+01
      27      1      9      1      7      1       8     4.1733E+01  2.595E+10  3.007E+00  1.249E+01
      28      1      9      1      8      1       8     1.7861E+00  2.564E+07  1.091E-01  2.083E+01
      30      1     10      1      3      1       8     1.6874E+02  6.543E+11  7.238E+01  9.262E+00
      31      1     10      1      4      1       8     1.6854E+02  9.272E+11  1.434E+02  9.265E+00
      33      1     10      1      6      1       8     4.3893E+01  1.529E+11  8.209E+01  1.184E+01
      36      1     10      1      9      1       8     6.3499E-01  7.144E+05  2.179E-02  1.906E+01
      41      1     11      1      7      1       8     4.2397E+01  2.550E+11  4.405E+02  8.672E+00
      43      1     11      1     10      1       8     2.8907E-02  5.930E+00  9.848E-05  1.524E+01
      45      1     12      1      3      1       8     1.8712E+02  7.334E+09  4.197E-01  2.666E+01
      46      1     12      1      4      1       8     1.8692E+02  1.185E+10  8.331E-01  2.666E+01
      48      1     12      1      6      1       8     6.2272E+01  3.811E+09  8.595E-01  2.924E+01
      51      1     12      1      9      1       8     1.9015E+01  1.047E+09  3.904E-01  3.646E+01
      53      1     13      1      2      1       8     2.0394E+02  4.192E+10  8.885E+00  2.668E+01
      56      1     13      1      5      1       8     6.7569E+01  7.038E+09  2.510E+00  2.929E+01
      58      1     13      1      7      1       8     6.1670E+01  1.608E+09  3.490E-01  2.826E+01
      59      1     13      1      8      1       8     2.1723E+01  1.469E+09  6.605E-01  3.657E+01
