#  File format type:   4
#
#  SPECT3D transition powers file.
#  RUN NAME:  ne_50-350eV_1e18-5e21_4mm
#  Total number of transitions   =     4122
#  Number of written transitions =     1278
#  Plasma temperature (eV)       =     5.0000E+01
#  Mass density (g/cm3)          =     1.6758E-01
#  Cell areal density (g/cm2)    =     5.0273E-02
#  Material mass fractions       =     1.0000E+00
#  DCA material number fractions =     1.0000E+00
# -----------------------------------------------------
#
#
#   Trans.  Trans  Upper  Upper  Lower  Lower   Ioniz   Energy     Line Power Line Center Line Width
#   Index   Model  Level  Model  Level  Model   Stage   (eV)       (W/cm2)    Opt. Depth      eV
# --------------------------------------------------------------------------------------------------
       1      1      3      1      2      1       8     1.5889E+01  7.626E+09  2.282E+02  1.345E+00
       2      1      4      1      2      1       8     1.6093E+01  1.124E+10  4.688E+02  1.345E+00
       5      1      5      1      3      1       8     1.2048E+02  2.254E+11  7.903E+01  4.659E+00
       6      1      5      1      4      1       8     1.2027E+02  3.215E+11  1.586E+02  4.659E+00
       7      1      6      1      2      1       8     1.4074E+02  9.642E+11  1.405E+03  4.615E+00
      10      1      6      1      5      1       8     4.3741E+00  4.238E+08  3.596E+00  7.900E+00
      12      1      7      1      3      1       8     1.2638E+02  1.028E+12  2.997E+03  3.348E+00
      13      1      7      1      4      1       8     1.2617E+02  1.450E+12  5.954E+03  3.361E+00
      15      1      7      1      6      1       8     1.5251E+00  1.470E+07  5.930E-01  6.570E+00
      17      1      8      1      3      1       8     1.6632E+02  6.190E+10  5.736E+00  1.382E+01
      18      1      8      1      4      1       8     1.6612E+02  8.988E+10  1.140E+01  1.382E+01
      20      1      8      1      6      1       8     4.1472E+01  2.961E+10  6.712E+00  1.706E+01
      22      1      9      1      2      1       8     1.8400E+02  2.613E+11  1.297E+02  1.371E+01
      25      1      9      1      5      1       8     4.7632E+01  5.000E+10  1.559E+01  1.699E+01
      27      1      9      1      7      1       8     4.1733E+01  1.554E+10  3.035E+00  1.568E+01
      28      1      9      1      8      1       8     1.7861E+00  1.561E+07  9.453E-02  2.614E+01
      30      1     10      1      3      1       8     1.6874E+02  2.600E+11  1.673E+02  1.161E+01
      31      1     10      1      4      1       8     1.6854E+02  3.678E+11  3.310E+02  1.162E+01
      33      1     10      1      6      1       8     4.3893E+01  9.084E+10  8.334E+01  1.485E+01
      36      1     10      1      9      1       8     6.3499E-01  4.290E+05  1.876E-02  2.393E+01
      41      1     11      1      7      1       8     4.2397E+01  1.521E+11  4.436E+02  1.088E+01
      43      1     11      1     10      1       8     2.8907E-02  3.550E+00  8.622E-05  1.913E+01
      45      1     12      1      3      1       8     1.8712E+02  2.981E+09  9.490E-01  3.345E+01
      46      1     12      1      4      1       8     1.8692E+02  4.553E+09  1.881E+00  3.345E+01
      48      1     12      1      6      1       8     6.2272E+01  2.020E+09  8.220E-01  3.669E+01
