#  File format type:   4
#
#  SPECT3D transition powers file.
#  RUN NAME:  ne_50-350eV_1e18-5e21_4mm
#  Total number of transitions   =     4122
#  Number of written transitions =     2042
#  Plasma temperature (eV)       =     3.1000E+02
#  Mass density (g/cm3)          =     1.6758E-04
#  Cell areal density (g/cm2)    =     5.0273E-05
#  Material mass fractions       =     1.0000E+00
#  DCA material number fractions =     1.0000E+00
# -----------------------------------------------------
#
#
#   Trans.  Trans  Upper  Upper  Lower  Lower   Ioniz   Energy     Line Power Line Center Line Width
#   Index   Model  Level  Model  Level  Model   Stage   (eV)       (W/cm2)    Opt. Depth      eV
# --------------------------------------------------------------------------------------------------
       1      1      3      1      2      1       8     1.5889E+01  1.510E+04  2.695E-03  5.550E-03
       2      1      4      1      2      1       8     1.6093E+01  3.165E+04  5.488E-03  5.611E-03
       5      1      5      1      3      1       8     1.2048E+02  2.381E+05  1.314E-03  3.897E-02
       6      1      5      1      4      1       8     1.2027E+02  4.771E+05  2.649E-03  3.891E-02
       7      1      6      1      2      1       8     1.4074E+02  4.420E+06  6.384E-03  1.122E-01
      10      1      6      1      5      1       8     4.3741E+00  1.115E+02  2.260E-05  7.322E-02
      12      1      7      1      3      1       8     1.2638E+02  6.709E+06  3.445E-02  4.015E-02
      13      1      7      1      4      1       8     1.2617E+02  1.302E+07  5.169E-02  5.327E-02
      15      1      7      1      6      1       8     1.5251E+00  1.973E+00  3.047E-06  5.365E-02
      17      1      8      1      3      1       8     1.6632E+02  5.381E+04  1.895E-04  5.797E-02
      18      1      8      1      4      1       8     1.6612E+02  1.070E+05  3.779E-04  5.791E-02
      20      1      8      1      6      1       8     4.1472E+01  2.763E+04  1.648E-04  8.929E-02
      22      1      9      1      2      1       8     1.8400E+02  1.156E+06  2.595E-03  7.697E-02
      25      1      9      1      5      1       8     4.7632E+01  7.973E+04  8.286E-04  3.780E-02
      27      1      9      1      7      1       8     4.1733E+01  1.182E+04  1.883E-04  3.348E-02
      28      1      9      1      8      1       8     1.7861E+00  4.639E+00  1.142E-05  2.914E-02
      30      1     10      1      3      1       8     1.6874E+02  1.341E+06  4.675E-03  5.750E-02
      31      1     10      1      4      1       8     1.6854E+02  2.633E+06  8.784E-03  6.013E-02
      33      1     10      1      6      1       8     4.3893E+01  3.340E+05  1.832E-03  8.502E-02
      36      1     10      1      9      1       8     6.3499E-01  1.228E-01  3.592E-06  2.406E-02
      41      1     11      1      7      1       8     4.2397E+01  1.205E+06  1.651E-02  3.853E-02
      43      1     11      1     10      1       8     2.8907E-02  9.661E-07  8.585E-08  2.240E-02
      45      1     12      1      3      1       8     1.8712E+02  2.354E+04  5.847E-05  7.535E-02
      46      1     12      1      4      1       8     1.8692E+02  4.670E+04  1.162E-04  7.529E-02
      48      1     12      1      6      1       8     6.2272E+01  1.517E+04  3.422E-05  1.067E-01
      51      1     12      1      9      1       8     1.9015E+01  3.303E+03  8.217E-05  4.546E-02
      53      1     13      1      2      1       8     2.0394E+02  5.249E+05  1.077E-03  8.045E-02
      56      1     13      1      5      1       8     6.7569E+01  5.041E+04  2.423E-04  4.125E-02
      58      1     13      1      7      1       8     6.1670E+01  5.871E+03  2.399E-05  6.038E-02
      59      1     13      1      8      1       8     2.1723E+01  6.370E+03  1.465E-04  3.262E-02
      61      1     13      1     10      1       8     1.9302E+01  2.275E+03  6.638E-05  3.509E-02
      63      1     13      1     12      1       8     9.2247E-01  6.485E-01  2.496E-06  3.747E-02
      65      1     14      1      3      1       8     1.8836E+02  5.440E+05  1.360E-03  7.399E-02
      66      1     14      1      4      1       8     1.8816E+02  1.082E+06  2.714E-03  7.393E-02
      68      1     14      1      6      1       8     6.3509E+01  1.898E+05  4.138E-04  1.053E-01
      71      1     14      1      9      1       8     2.0251E+01  2.455E+04  5.432E-04  4.409E-02
      73      1     14      1     11      1       8     1.9587E+01  8.706E+02  2.563E-05  3.458E-02
      75      1     14      1     13      1       8     3.1361E-01  1.571E-02  7.065E-07  3.555E-02
      80      1     15      1      7      1       8     6.1991E+01  3.387E+05  1.469E-03  5.603E-02
      82      1     15      1     10      1       8     1.9623E+01  6.002E+04  1.941E-03  3.073E-02
      85      1     15      1     14      1       8     7.4800E-03  2.235E-08  1.000E-30  3.101E-02
      91      1     16      1     11      1       8     1.9655E+01  1.989E+05  7.180E-03  2.829E-02
      93      1     16      1     15      1       8     6.0560E-02  4.801E-06  1.000E-30  2.489E-02
      95      1     17      1      3      1       8     1.9833E+02  1.244E+04  2.158E-05  9.918E-02
      96      1     17      1      4      1       8     1.9813E+02  2.477E+04  4.307E-05  9.912E-02
      97      1     17      1      6      1       8     7.3479E+01  8.959E+03  1.156E-05  1.305E-01
      99      1     17      1      9      1       8     3.0222E+01  2.539E+03  1.432E-05  6.929E-02
     102      1     17      1     13      1       8     1.0284E+01  6.582E+02  1.953E-05  6.074E-02
     104      1     18      1      2      1       8     2.1470E+02  2.937E+05  4.356E-04  1.044E-01
     107      1     18      1      5      1       8     7.8336E+01  3.199E+04  6.871E-05  6.518E-02
     108      1     18      1      7      1       8     7.2437E+01  3.298E+03  6.699E-06  8.432E-02
     109      1     18      1      8      1       8     3.2490E+01  5.658E+03  3.064E-05  5.655E-02
     111      1     18      1     10      1       8     3.0069E+01  1.598E+03  1.004E-05  5.902E-02
     113      1     18      1     12      1       8     1.1689E+01  9.975E+02  2.193E-05  6.140E-02
     115      1     18      1     14      1       8     1.0453E+01  5.592E+02  1.617E-05  5.929E-02
     117      1     18      1     17      1       8     4.8232E-01  9.319E-02  4.500E-07  7.847E-02
     119      1     19      1      3      1       8     1.9902E+02  2.872E+05  5.060E-04  9.720E-02
     120      1     19      1      4      1       8     1.9882E+02  5.729E+05  1.012E-03  9.714E-02
     121      1     19      1      6      1       8     7.4170E+01  1.109E+05  1.420E-04  1.285E-01
     123      1     19      1      9      1       8     3.0912E+01  2.042E+04  1.129E-04  6.730E-02
     125      1     19      1     11      1       8     3.0248E+01  5.191E+02  3.389E-06  5.779E-02
     127      1     19      1     13      1       8     1.0975E+01  3.598E+03  9.407E-05  5.875E-02
     129      1     19      1     15      1       8     1.0654E+01  3.334E+02  1.024E-05  5.421E-02
     132      1     19      1     18      1       8     2.0831E-01  6.108E-03  5.767E-08  7.620E-02
     136      1     20      1      7      1       8     7.2924E+01  1.724E+05  3.797E-04  7.671E-02
     138      1     20      1     10      1       8     3.0556E+01  4.359E+04  3.017E-04  5.144E-02
     141      1     20      1     14      1       8     1.0940E+01  9.159E+03  2.653E-04  5.424E-02
     143      1     20      1     16      1       8     1.0872E+01  1.446E+02  5.037E-06  4.808E-02
     145      1     20      1     19      1       8     2.7887E-01  2.389E-03  1.000E-30  7.102E-02
     148      1     21      1     11      1       8     3.0535E+01  6.011E+04  4.539E-04  4.926E-02
     150      1     21      1     15      1       8     1.0940E+01  1.820E+04  6.188E-04  4.570E-02
     153      1     21      1     20      1       8     7.5365E-03  1.311E-08  1.000E-30  6.083E-02
     157      1     22      1     16      1       8     1.0881E+01  3.270E+04  1.326E-03  3.615E-02
     161      1     23      1      3      1       8     2.0517E+02  7.365E+03  8.900E-06  1.352E-01
     162      1     23      1      4      1       8     2.0497E+02  1.469E+04  1.778E-05  1.351E-01
     163      1     23      1      6      1       8     8.0323E+01  5.607E+03  4.700E-06  1.665E-01
     164      1     23      1      9      1       8     3.7065E+01  1.756E+03  3.979E-06  1.053E-01
     166      1     23      1     13      1       8     1.7128E+01  6.059E+02  3.861E-06  9.674E-02
     169      1     23      1     18      1       8     6.3616E+00  1.924E+02  5.868E-06  1.142E-01
     171      1     24      1      2      1       8     2.2123E+02  1.764E+05  1.809E-04  1.459E-01
     172      1     24      1      5      1       8     8.4862E+01  2.047E+04  2.239E-05  1.067E-01
     173      1     24      1      7      1       8     7.8963E+01  1.975E+03  2.286E-06  1.206E-01
     174      1     24      1      8      1       8     3.9016E+01  4.132E+03  8.764E-06  9.804E-02
