#  File format type:   4
#
#  SPECT3D transition powers file.
#  RUN NAME:  ne_20-160ev_1e18-1e22_4mm
#  Total number of transitions   =     4122
#  Number of written transitions =     1872
#  Plasma temperature (eV)       =     1.4000E+02
#  Mass density (g/cm3)          =     3.3515E-01
#  Cell areal density (g/cm2)    =     1.3406E-01
#  Material mass fractions       =     1.0000E+00
#  DCA material number fractions =     1.0000E+00
# -----------------------------------------------------
#
#
#   Trans.  Trans  Upper  Upper  Lower  Lower   Ioniz   Energy     Line Power Line Center Line Width
#   Index   Model  Level  Model  Level  Model   Stage   (eV)       (W/cm2)    Opt. Depth      eV
# --------------------------------------------------------------------------------------------------
       1      1      3      1      2      1       8     1.5889E+01  1.150E+10  3.248E+01  1.770E+00
       2      1      4      1      2      1       8     1.6093E+01  1.711E+10  6.680E+01  1.770E+00
       5      1      5      1      3      1       8     1.2048E+02  9.981E+11  2.220E+01  6.134E+00
       6      1      5      1      4      1       8     1.2027E+02  1.432E+12  4.464E+01  6.134E+00
       7      1      6      1      2      1       8     1.4074E+02  4.827E+12  3.423E+02  6.056E+00
      10      1      6      1      5      1       8     4.3741E+00  1.250E+09  2.409E+00  1.037E+01
      12      1      7      1      3      1       8     1.2638E+02  4.851E+12  8.579E+02  4.410E+00
      13      1      7      1      4      1       8     1.2617E+02  6.843E+12  1.708E+03  4.423E+00
      15      1      7      1      6      1       8     1.5251E+00  4.137E+07  4.038E-01  8.628E+00
      17      1      8      1      3      1       8     1.6632E+02  1.552E+11  1.832E+00  1.819E+01
      18      1      8      1      4      1       8     1.6612E+02  2.310E+11  3.649E+00  1.819E+01
      20      1      8      1      6      1       8     4.1472E+01  4.870E+10  5.766E+00  2.243E+01
      22      1      9      1      2      1       8     1.8400E+02  7.389E+11  3.514E+01  1.803E+01
      25      1      9      1      5      1       8     4.7632E+01  8.060E+10  1.335E+01  2.235E+01
      27      1      9      1      7      1       8     4.1733E+01  2.463E+10  2.662E+00  2.062E+01
      28      1      9      1      8      1       8     1.7861E+00  2.455E+07  3.983E-02  3.439E+01
      30      1     10      1      3      1       8     1.6874E+02  6.885E+11  5.374E+01  1.529E+01
      31      1     10      1      4      1       8     1.6854E+02  9.767E+11  1.066E+02  1.529E+01
      33      1     10      1      6      1       8     4.3893E+01  1.479E+11  7.249E+01  1.952E+01
      36      1     10      1      9      1       8     6.3499E-01  6.595E+05  7.626E-03  3.148E+01
      41      1     11      1      7      1       8     4.2397E+01  2.548E+11  3.904E+02  1.431E+01
      43      1     11      1     10      1       8     2.8907E-02  5.583E+00  3.214E-05  2.516E+01
      45      1     12      1      3      1       8     1.8712E+02  4.690E+09  3.023E-01  4.401E+01
      46      1     12      1      4      1       8     1.8692E+02  7.831E+09  6.002E-01  4.401E+01
      48      1     12      1      6      1       8     6.2272E+01  2.551E+09  5.952E-01  4.825E+01
      51      1     12      1      9      1       8     1.9015E+01  8.290E+08  1.104E-02  6.021E+01
      53      1     13      1      2      1       8     2.0394E+02  2.967E+10  6.131E+00  4.404E+01
      56      1     13      1      5      1       8     6.7569E+01  4.839E+09  1.785E+00  4.836E+01
      58      1     13      1      7      1       8     6.1670E+01  1.035E+09  2.377E-01  4.665E+01
      59      1     13      1      8      1       8     2.1723E+01  1.318E+09  3.908E-02  6.040E+01
      61      1     13      1     10      1       8     1.9302E+01  4.868E+08  4.085E-03  5.750E+01
