#  File format type:   4
#
#  SPECT3D transition powers file.
#  RUN NAME:  ne_20-160ev_1e18-1e22_4mm
#  Total number of transitions   =     4122
#  Number of written transitions =      268
#  Plasma temperature (eV)       =     2.0000E+01
#  Mass density (g/cm3)          =     3.3515E-01
#  Cell areal density (g/cm2)    =     1.3406E-01
#  Material mass fractions       =     1.0000E+00
#  DCA material number fractions =     1.0000E+00
# -----------------------------------------------------
#
#
#   Trans.  Trans  Upper  Upper  Lower  Lower   Ioniz   Energy     Line Power Line Center Line Width
#   Index   Model  Level  Model  Level  Model   Stage   (eV)       (W/cm2)    Opt. Depth      eV
# --------------------------------------------------------------------------------------------------
       1      1      3      1      2      1       8     1.5889E+01  1.566E+09  1.526E+01  3.609E+00
       2      1      4      1      2      1       8     1.6093E+01  2.327E+09  3.126E+01  3.609E+00
       5      1      5      1      3      1       8     1.2048E+02  1.770E+09  1.787E+00  1.249E+01
       6      1      5      1      4      1       8     1.2027E+02  2.657E+09  3.566E+00  1.249E+01
       7      1      6      1      2      1       8     1.4074E+02  5.991E+09  4.959E+01  1.225E+01
      10      1      6      1      5      1       8     4.3741E+00  1.517E+06  4.323E-03  2.111E+01
      12      1      7      1      3      1       8     1.2638E+02  7.718E+09  6.708E+01  8.963E+00
      13      1      7      1      4      1       8     1.2617E+02  1.099E+10  1.325E+02  8.976E+00
      15      1      7      1      6      1       8     1.5251E+00  2.546E+04  6.459E-04  1.757E+01
      17      1      8      1      3      1       8     1.6632E+02  3.688E+07  1.227E-01  3.710E+01
      18      1      8      1      4      1       8     1.6612E+02  6.696E+07  2.424E-01  3.710E+01
      20      1      8      1      6      1       8     4.1472E+01  2.104E+07  4.639E-03  4.572E+01
      22      1      9      1      2      1       8     1.8400E+02  2.139E+08  4.418E+00  3.675E+01
      25      1      9      1      5      1       8     4.7632E+01  4.785E+07  1.181E-02  4.561E+01
      27      1      9      1      7      1       8     4.1733E+01  7.158E+06  2.009E-03  4.208E+01
      28      1      9      1      8      1       8     1.7861E+00  2.814E+03  1.542E-05  7.021E+01
      30      1     10      1      3      1       8     1.6874E+02  2.627E+08  3.572E+00  3.116E+01
      31      1     10      1      4      1       8     1.6854E+02  3.848E+08  7.026E+00  3.116E+01
      33      1     10      1      6      1       8     4.3893E+01  1.853E+08  5.648E-02  3.978E+01
      36      1     10      1      9      1       8     6.3499E-01  7.172E+01  2.859E-06  6.427E+01
      41      1     11      1      7      1       8     4.2397E+01  6.078E+08  2.921E-01  2.918E+01
      43      1     11      1     10      1       8     2.8907E-02  6.020E-04  1.321E-08  5.136E+01
      45      1     12      1      3      1       8     1.8712E+02  8.509E+05  2.004E-02  8.981E+01
      46      1     12      1      4      1       8     1.8692E+02  1.657E+06  3.948E-02  8.981E+01
      48      1     12      1      6      1       8     6.2272E+01  5.591E+05  4.444E-04  9.843E+01
      51      1     12      1      9      1       8     1.9015E+01  1.217E+05  1.000E-30  1.229E+02
      53      1     13      1      2      1       8     2.0394E+02  1.004E+07  7.680E-01  8.987E+01
      56      1     13      1      5      1       8     6.7569E+01  1.574E+06  1.512E-03  9.873E+01
      58      1     13      1      7      1       8     6.1670E+01  1.836E+05  1.699E-04  9.523E+01
      59      1     13      1      8      1       8     2.1723E+01  1.991E+05  1.000E-30  1.233E+02
      61      1     13      1     10      1       8     1.9302E+01  7.113E+04  1.000E-30  1.174E+02
      63      1     13      1     12      1       8     9.2247E-01  2.027E+01  1.000E-30  1.760E+02
      65      1     14      1      3      1       8     1.8836E+02  1.239E+07  5.052E-01  8.148E+01
      66      1     14      1      4      1       8     1.8816E+02  1.981E+07  9.988E-01  8.148E+01
      68      1     14      1      6      1       8     6.3509E+01  6.179E+06  5.771E-03  9.010E+01
      71      1     14      1      9      1       8     2.0251E+01  8.042E+05  1.000E-30  1.146E+02
      73      1     14      1     11      1       8     1.9587E+01  2.850E+04  1.000E-30  1.017E+02
      75      1     14      1     13      1       8     3.1361E-01  5.142E-01  1.000E-30  1.677E+02
      80      1     15      1      7      1       8     6.1991E+01  1.278E+07  1.243E-02  7.414E+01
      82      1     15      1     10      1       8     1.9623E+01  2.294E+06  1.000E-30  9.631E+01
      85      1     15      1     14      1       8     7.4800E-03  8.527E-07  3.750E-23  1.466E+02
      91      1     16      1     11      1       8     1.9655E+01  9.114E+06  1.000E-30  7.271E+01
      93      1     16      1     15      1       8     6.0560E-02  2.184E-04  1.000E-30  1.177E+02
      95      1     17      1      3      1       8     1.9833E+02  8.860E+03  4.708E-03  1.867E+02
      96      1     17      1      4      1       8     1.9813E+02  1.757E+04  9.311E-03  1.867E+02
      97      1     17      1      6      1       8     7.3479E+01  6.413E+03  8.857E-05  1.954E+02
      99      1     17      1      9      1       8     3.0222E+01  1.818E+03  1.000E-30  2.199E+02
     102      1     17      1     13      1       8     1.0284E+01  4.712E+02  1.000E-30  2.730E+02
     104      1     18      1      2      1       8     2.1470E+02  1.521E+05  1.932E-01  1.879E+02
     107      1     18      1      5      1       8     7.8336E+01  1.954E+04  3.393E-04  1.968E+02
     108      1     18      1      7      1       8     7.2437E+01  2.015E+03  3.188E-05  1.933E+02
     109      1     18      1      8      1       8     3.2490E+01  3.456E+03  1.000E-30  2.214E+02
     111      1     18      1     10      1       8     3.0069E+01  9.761E+02  1.000E-30  2.155E+02
     113      1     18      1     12      1       8     1.1689E+01  6.094E+02  6.435E-22  2.741E+02
     115      1     18      1     14      1       8     1.0453E+01  3.416E+02  4.162E-22  2.658E+02
     117      1     18      1     17      1       8     4.8232E-01  5.693E-02  9.877E-24  3.710E+02
     119      1     19      1      3      1       8     1.9902E+02  1.821E+05  1.144E-01  1.763E+02
     120      1     19      1      4      1       8     1.9882E+02  3.333E+05  2.268E-01  1.763E+02
     121      1     19      1      6      1       8     7.4170E+01  7.786E+04  1.131E-03  1.849E+02
     123      1     19      1      9      1       8     3.0912E+01  1.435E+04  1.000E-30  2.094E+02
     125      1     19      1     11      1       8     3.0248E+01  3.647E+02  1.000E-30  1.965E+02
     127      1     19      1     13      1       8     1.0975E+01  2.528E+03  9.767E-22  2.625E+02
     129      1     19      1     15      1       8     1.0654E+01  2.342E+02  1.844E-22  2.414E+02
     132      1     19      1     18      1       8     2.0831E-01  4.292E-03  1.000E-30  3.606E+02
     136      1     20      1      7      1       8     7.2924E+01  1.668E+05  1.944E-03  1.624E+02
     138      1     20      1     10      1       8     3.0556E+01  4.225E+04  1.000E-30  1.846E+02
     141      1     20      1     14      1       8     1.0940E+01  8.879E+03  3.365E-21  2.349E+02
     143      1     20      1     16      1       8     1.0872E+01  1.401E+02  1.000E-30  2.059E+02
     145      1     20      1     19      1       8     2.7887E-01  2.315E-03  5.898E-25  3.297E+02
     148      1     21      1     11      1       8     3.0535E+01  8.543E+04  1.000E-30  1.521E+02
     150      1     21      1     15      1       8     1.0940E+01  2.587E+04  1.000E-30  1.971E+02
     153      1     21      1     20      1       8     7.5365E-03  1.864E-08  1.000E-30  2.854E+02
     157      1     22      1     16      1       8     1.0881E+01  6.904E+04  1.000E-30  1.534E+02
     161      1     23      1      3      1       8     2.0517E+02  2.472E+01  1.452E-03  3.476E+02
     162      1     23      1      4      1       8     2.0497E+02  4.922E+01  2.875E-03  3.476E+02
     163      1     23      1      6      1       8     8.0323E+01  1.885E+01  2.497E-05  3.562E+02
     164      1     23      1      9      1       8     3.7065E+01  5.901E+00  1.000E-30  3.807E+02
     166      1     23      1     13      1       8     1.7128E+01  2.037E+00  2.799E-23  4.338E+02
     169      1     23      1     18      1       8     6.3616E+00  6.467E-01  1.000E-30  5.319E+02
     171      1     24      1      2      1       8     2.2123E+02  4.642E+02  6.102E-02  3.508E+02
     172      1     24      1      5      1       8     8.4862E+01  5.703E+01  1.004E-04  3.597E+02
     173      1     24      1      7      1       8     7.8963E+01  5.503E+00  8.587E-06  3.562E+02
     174      1     24      1      8      1       8     3.9016E+01  1.151E+01  1.000E-30  3.843E+02
     175      1     24      1     10      1       8     3.6595E+01  2.896E+00  1.000E-30  3.783E+02
     176      1     24      1     12      1       8     1.8215E+01  2.846E+00  5.864E-23  4.370E+02
     178      1     24      1     14      1       8     1.6979E+01  1.304E+00  1.000E-30  4.286E+02
     180      1     24      1     17      1       8     7.0085E+00  6.104E-01  1.000E-30  5.339E+02
     182      1     24      1     19      1       8     6.3179E+00  4.658E-01  1.000E-30  5.234E+02
     184      1     24      1     23      1       8     1.6457E-01  9.075E-06  1.000E-30  6.947E+02
     186      1     25      1      3      1       8     2.0544E+02  6.060E+02  3.451E-02  3.355E+02
     187      1     25      1      4      1       8     2.0523E+02  1.172E+03  6.831E-02  3.355E+02
     188      1     25      1      6      1       8     8.0584E+01  2.569E+02  3.176E-04  3.442E+02
     189      1     25      1      9      1       8     3.7326E+01  5.317E+01  1.000E-30  3.687E+02
     190      1     25      1     11      1       8     3.6662E+01  1.139E+00  1.000E-30  3.557E+02
     192      1     25      1     13      1       8     1.7389E+01  1.308E+01  3.218E-22  4.218E+02
     194      1     25      1     15      1       8     1.7068E+01  8.975E-01  2.106E-23  4.007E+02
     197      1     25      1     18      1       8     6.6220E+00  2.827E+00  1.000E-30  5.198E+02
     199      1     25      1     20      1       8     6.1349E+00  3.721E-01  2.408E-24  4.890E+02
     202      1     25      1     24      1       8     9.5840E-02  1.803E-06  9.989E-27  6.827E+02
     204      1     26      1      7      1       8     7.9363E+01  6.607E+02  4.787E-04  3.140E+02
     205      1     26      1     10      1       8     3.6995E+01  1.882E+02  1.000E-30  3.362E+02
     207      1     26      1     14      1       8     1.7379E+01  5.331E+01  4.755E-22  3.865E+02
     209      1     26      1     16      1       8     1.7311E+01  5.767E-01  1.000E-30  3.575E+02
     211      1     26      1     19      1       8     6.7178E+00  1.329E+01  1.000E-30  4.813E+02
     213      1     26      1     21      1       8     6.4314E+00  4.912E-01  1.000E-30  4.369E+02
     216      1     26      1     25      1       8     3.0410E-01  2.411E-05  1.000E-30  6.406E+02
     218      1     27      1     11      1       8     3.6971E+01  4.429E+02  1.000E-30  2.933E+02
     220      1     27      1     15      1       8     1.7377E+01  1.816E+02  1.000E-30  3.382E+02
     223      1     27      1     20      1       8     6.4438E+00  4.412E+01  7.510E-23  4.265E+02
     225      1     27      1     22      1       8     6.4350E+00  3.937E-01  1.000E-30  3.739E+02
     230      1     28      1     16      1       8     1.7317E+01  4.548E+02  1.000E-30  2.814E+02
     232      1     28      1     21      1       8     6.4372E+00  1.709E+02  1.000E-30  3.608E+02
     236      1     29      1      2      1       8     2.2538E+02  7.509E-02  2.292E-02  6.022E+02
     237      1     29      1      5      1       8     8.9018E+01  9.254E-03  3.638E-05  6.111E+02
     238      1     29      1      7      1       8     8.3119E+01  8.521E-04  2.928E-06  6.076E+02
     239      1     29      1      8      1       8     4.3172E+01  1.978E-03  1.000E-30  6.357E+02
     240      1     29      1     10      1       8     4.0751E+01  4.636E-04  1.000E-30  6.297E+02
