#  File format type:   4
#
#  SPECT3D transition powers file.
#  RUN NAME:  ne_20-160ev_1e18-1e22_4mm
#  Total number of transitions   =     4122
#  Number of written transitions =     1832
#  Plasma temperature (eV)       =     8.0000E+01
#  Mass density (g/cm3)          =     3.3515E-05
#  Cell areal density (g/cm2)    =     1.3406E-05
#  Material mass fractions       =     1.0000E+00
#  DCA material number fractions =     1.0000E+00
# -----------------------------------------------------
#
#
#   Trans.  Trans  Upper  Upper  Lower  Lower   Ioniz   Energy     Line Power Line Center Line Width
#   Index   Model  Level  Model  Level  Model   Stage   (eV)       (W/cm2)    Opt. Depth      eV
# --------------------------------------------------------------------------------------------------
       1      1      3      1      2      1       8     1.5889E+01  4.016E+05  3.297E-01  2.680E-03
       2      1      4      1      2      1       8     1.6093E+01  5.779E+05  8.129E-01  2.712E-03
       5      1      5      1      3      1       8     1.2048E+02  2.501E+06  1.057E-01  1.933E-02
       6      1      5      1      4      1       8     1.2027E+02  4.516E+06  2.031E-01  1.930E-02
       7      1      6      1      2      1       8     1.4074E+02  3.647E+07  3.384E-01  8.955E-02
      10      1      6      1      5      1       8     4.3741E+00  1.313E+03  4.360E-04  6.957E-02
      12      1      7      1      3      1       8     1.2638E+02  2.001E+07  2.735E+00  2.014E-02
      13      1      7      1      4      1       8     1.2617E+02  3.610E+07  3.140E+00  3.328E-02
      15      1      7      1      6      1       8     1.5251E+00  2.344E+01  5.102E-06  5.093E-02
      17      1      8      1      3      1       8     1.6632E+02  3.466E+05  1.509E-02  2.803E-02
      18      1      8      1      4      1       8     1.6612E+02  6.763E+05  2.871E-02  2.800E-02
      20      1      8      1      6      1       8     4.1472E+01  1.813E+05  3.041E-03  7.664E-02
      22      1      9      1      2      1       8     1.8400E+02  5.993E+06  1.859E-01  4.446E-02
      25      1      9      1      5      1       8     4.7632E+01  5.025E+05  2.042E-02  2.425E-02
      27      1      9      1      7      1       8     4.1733E+01  7.632E+04  4.713E-03  2.131E-02
      28      1      9      1      8      1       8     1.7861E+00  3.008E+01  2.438E-04  1.888E-02
      30      1     10      1      3      1       8     1.6874E+02  5.876E+06  3.691E-01  2.805E-02
      31      1     10      1      4      1       8     1.6854E+02  9.617E+06  6.383E-01  3.071E-02
      33      1     10      1      6      1       8     4.3893E+01  2.055E+06  3.377E-02  7.285E-02
      36      1     10      1      9      1       8     6.3499E-01  7.914E-01  7.892E-05  1.481E-02
      41      1     11      1      7      1       8     4.2397E+01  5.452E+06  3.576E-01  2.810E-02
      43      1     11      1     10      1       8     2.8907E-02  6.247E-06  1.000E-30  1.508E-02
      45      1     12      1      3      1       8     1.8712E+02  1.176E+05  4.853E-03  3.482E-02
      46      1     12      1      4      1       8     1.8692E+02  2.312E+05  9.205E-03  3.479E-02
      48      1     12      1      6      1       8     6.2272E+01  7.608E+04  6.601E-04  8.341E-02
      51      1     12      1      9      1       8     1.9015E+01  1.654E+04  1.826E-03  2.514E-02
      53      1     13      1      2      1       8     2.0394E+02  2.306E+06  9.485E-02  3.741E-02
      56      1     13      1      5      1       8     6.7569E+01  2.487E+05  8.967E-03  1.717E-02
      58      1     13      1      7      1       8     6.1670E+01  2.920E+04  5.897E-04  3.768E-02
      59      1     13      1      8      1       8     2.1723E+01  3.154E+04  4.947E-03  1.183E-02
      61      1     13      1     10      1       8     1.9302E+01  1.130E+04  1.870E-03  1.551E-02
      63      1     13      1     12      1       8     9.2247E-01  3.227E+00  9.636E-05  1.226E-02
      65      1     14      1      3      1       8     1.8836E+02  2.335E+06  1.123E-01  3.447E-02
      66      1     14      1      4      1       8     1.8816E+02  4.173E+06  2.139E-01  3.444E-02
      68      1     14      1      6      1       8     6.3509E+01  9.306E+05  7.906E-03  8.307E-02
      71      1     14      1      9      1       8     2.0251E+01  1.198E+05  1.185E-02  2.477E-02
      73      1     14      1     11      1       8     1.9587E+01  4.315E+03  6.425E-04  1.720E-02
      75      1     14      1     13      1       8     3.1361E-01  7.790E-02  2.570E-05  1.162E-02
      80      1     15      1      7      1       8     6.1991E+01  1.603E+06  3.485E-02  3.629E-02
      82      1     15      1     10      1       8     1.9623E+01  2.842E+05  5.266E-02  1.411E-02
      85      1     15      1     14      1       8     7.4800E-03  1.110E-07  1.000E-30  1.012E-02
      91      1     16      1     11      1       8     1.9655E+01  8.093E+05  1.677E-01  1.502E-02
      93      1     16      1     15      1       8     6.0560E-02  2.386E-05  1.000E-30  8.122E-03
      95      1     17      1      3      1       8     1.9833E+02  5.529E+04  1.903E-03  4.318E-02
      96      1     17      1      4      1       8     1.9813E+02  1.099E+05  3.624E-03  4.315E-02
      97      1     17      1      6      1       8     7.3479E+01  3.991E+04  2.466E-04  9.178E-02
      99      1     17      1      9      1       8     3.0222E+01  1.131E+04  3.690E-04  3.350E-02
     102      1     17      1     13      1       8     1.0284E+01  2.930E+03  6.632E-04  2.034E-02
     104      1     18      1      2      1       8     2.1470E+02  1.232E+06  4.054E-02  4.578E-02
