#  File format type:   4
#
#  SPECT3D transition powers file.
#  RUN NAME:  xe_20-200ev_1e18-1e21_4mm
#  Total number of transitions   =     1890
#  Number of written transitions =      862
#  Plasma temperature (eV)       =     1.0000E+02
#  Mass density (g/cm3)          =     2.2432E-05
#  Cell areal density (g/cm2)    =     8.9730E-06
#  Material mass fractions       =     1.0000E+00
#  DCA material number fractions =     1.3000E-02    9.8700E-01
# -----------------------------------------------------
#
#
#   Trans.  Trans  Upper  Upper  Lower  Lower   Ioniz   Energy     Line Power Line Center Line Width
#   Index   Model  Level  Model  Level  Model   Stage   (eV)       (W/cm2)    Opt. Depth      eV
# --------------------------------------------------------------------------------------------------
       1      1      3      1      2      1      52     1.1982E+02  8.678E+06  1.448E-12  8.049E-03
       2      1      4      1      2      1      52     4.9234E+02  2.406E+09  1.843E-02  3.330E-02
       4      1      6      1      5      1      52     1.0651E+02  3.302E+07  2.057E-05  7.871E+01
       6      1      7      1      6      1      52     6.8034E+01  4.330E+06  2.869E-06  9.466E+01
       7      1      9      1      8      1      52     3.8672E+01  1.924E+06  6.865E-05  2.871E+01
       9      1     10      1      9      1      52     3.4641E+01  1.239E+06  1.878E-05  3.134E+01
      11      1     11      1     10      1      52     9.4480E+00  4.308E+03  7.102E-06  8.523E+00
      13      1     12      1      9      1      52     8.3242E+02  7.128E+10  1.000E-30  4.472E+01
      14      1     13      1      8      1      52     8.9349E+02  5.668E+10  1.729E-04  2.723E+01
      16      1     13      1     10      1      52     8.2018E+02  1.886E+10  1.000E-30  1.544E+01
      17      1     13      1     12      1      52     2.2396E+01  5.460E+05  1.741E-04  1.654E+01
      19      1     14      1      9      1      52     8.6975E+02  1.210E+11  9.691E-05  3.749E+01
      21      1     14      1     11      1      52     8.2566E+02  4.500E+09  1.000E-30  2.921E+00
      23      1     14      1     13      1      52     1.4925E+01  1.161E+05  3.415E-05  2.020E+01
      25      1     15      1     10      1      52     8.3968E+02  2.047E+11  3.196E-04  1.282E+01
      28      1     15      1     14      1      52     4.5752E+00  8.495E+02  2.405E-05  4.371E+00
      30      1     16      1     11      1      52     8.3260E+02  3.332E+11  8.316E-04  5.882E+00
      32      1     16      1     15      1      52     2.3647E+00  3.541E+01  1.305E-05  1.738E+00
      34      1     17      1      9      1      52     1.3019E+03  5.982E+10  1.000E-30  4.463E+01
      36      1     17      1     13      1      52     4.4709E+02  1.516E+10  1.000E-30  2.759E+01
      38      1     18      1      8      1      52     1.3534E+03  5.359E+10  8.078E-05  1.586E+01
      40      1     18      1     10      1      52     1.2800E+03  1.461E+10  1.000E-30  8.549E+00
      41      1     18      1     12      1      52     4.8226E+02  9.783E+09  3.283E-04  1.574E+01
      43      1     18      1     14      1      52     4.4493E+02  5.062E+09  1.000E-30  9.461E+00
      45      1     18      1     17      1      52     1.2770E+01  1.220E+05  3.706E-04  9.365E+00
      47      1     19      1      9      1      52     1.3234E+03  1.087E+11  2.293E-05  4.040E+01
      49      1     19      1     11      1      52     1.2793E+03  2.974E+09  1.000E-30  4.014E+00
