#  File format type:   4
#
#  SPECT3D transition powers file.
#  RUN NAME:  xe_20-200ev_1e18-1e21_4mm
#  Total number of transitions   =     1890
#  Number of written transitions =      671
#  Plasma temperature (eV)       =     4.0000E+01
#  Mass density (g/cm3)          =     2.2432E-03
#  Cell areal density (g/cm2)    =     8.9730E-04
#  Material mass fractions       =     1.0000E+00
#  DCA material number fractions =     1.3000E-02    9.8700E-01
# -----------------------------------------------------
#
#
#   Trans.  Trans  Upper  Upper  Lower  Lower   Ioniz   Energy     Line Power Line Center Line Width
#   Index   Model  Level  Model  Level  Model   Stage   (eV)       (W/cm2)    Opt. Depth      eV
# --------------------------------------------------------------------------------------------------
       1      1      3      1      2      1      52     1.1982E+02  8.678E+08  1.966E-08  5.930E-03
       2      1      4      1      2      1      52     4.9234E+02  5.831E+10  2.789E+00  2.199E-02
       4      1      6      1      5      1      52     1.0651E+02  3.296E+09  2.057E-03  7.871E+01
       6      1      7      1      6      1      52     6.8034E+01  4.330E+08  2.869E-04  9.466E+01
       7      1      9      1      8      1      52     3.8672E+01  1.905E+08  6.861E-03  2.872E+01
       9      1     10      1      9      1      52     3.4641E+01  1.237E+08  1.878E-03  3.135E+01
      11      1     11      1     10      1      52     9.4480E+00  4.305E+05  7.093E-04  8.534E+00
      13      1     12      1      9      1      52     8.3242E+02  7.128E+12  1.000E-30  4.473E+01
      14      1     13      1      8      1      52     8.9349E+02  5.529E+12  1.729E-02  2.724E+01
      16      1     13      1     10      1      52     8.2018E+02  1.886E+12  1.000E-30  1.544E+01
      17      1     13      1     12      1      52     2.2396E+01  5.325E+07  1.737E-02  1.658E+01
      19      1     14      1      9      1      52     8.6975E+02  1.193E+13  9.690E-03  3.749E+01
      21      1     14      1     11      1      52     8.2566E+02  4.500E+11  1.000E-30  2.923E+00
      23      1     14      1     13      1      52     1.4925E+01  1.157E+07  3.409E-03  2.023E+01
      25      1     15      1     10      1      52     8.3968E+02  1.956E+13  3.196E-02  1.282E+01
      28      1     15      1     14      1      52     4.5752E+00  8.475E+04  2.388E-03  4.404E+00
      30      1     16      1     11      1      52     8.3260E+02  2.983E+13  8.323E-02  5.878E+00
      32      1     16      1     15      1      52     2.3647E+00  3.536E+03  1.286E-03  1.764E+00
      34      1     17      1      9      1      52     1.3019E+03  5.982E+12  1.000E-30  4.464E+01
      36      1     17      1     13      1      52     4.4709E+02  1.516E+12  1.000E-30  2.764E+01
      38      1     18      1      8      1      52     1.3534E+03  5.297E+12  8.071E-03  1.587E+01
      40      1     18      1     10      1      52     1.2800E+03  1.461E+12  1.000E-30  8.565E+00
      41      1     18      1     12      1      52     4.8226E+02  9.340E+11  3.274E-02  1.579E+01
      43      1     18      1     14      1      52     4.4493E+02  5.062E+11  1.000E-30  9.510E+00
      45      1     18      1     17      1      52     1.2770E+01  1.158E+07  3.675E-02  9.448E+00
